               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  17,             0.13066,            0.015884,          0.00095809,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021928,           0.0021928,           0.0021928
                  18,             0.12843,            0.015777,          0.00086199,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016717,           0.0016717,           0.0016717
                  19,             0.12789,            0.017063,          0.00063122,             0.43796,             0.25393,             0.24807,            0.089431,             0.12486,            0.010356,           0.0012252,           0.0011506,           0.0011506,           0.0011506
                   0,             0.20044,            0.030001,            0.038354,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.078249,            0.001056,            0.001056
                   1,             0.18097,             0.02168,            0.020806,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.069866,           0.0021079,           0.0021079
                   2,             0.17122,              0.0179,           0.0095356,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.061368,           0.0030448,           0.0030448
                   3,             0.16567,            0.017953,           0.0051489,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.052756,           0.0038667,           0.0038667
                   4,             0.16064,             0.01717,           0.0028156,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.044028,           0.0045737,           0.0045737
                   5,             0.15574,            0.017091,           0.0025503,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.035185,           0.0051657,           0.0051657
                   6,             0.15125,            0.018249,            0.002139,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.026228,           0.0056427,           0.0056427
                   7,              0.1467,             0.01636,           0.0019739,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017155,           0.0060048,           0.0060048
                   8,             0.14319,            0.017411,           0.0018865,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079673,           0.0062519,           0.0062519
                   9,             0.13872,            0.015136,           0.0019419,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058569,           0.0058569,           0.0058569
