               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.056372,             0.01478,          0.00020292,             0.59877,             0.34325,             0.38691,             0.16886,            0.060346,            0.014926,          0.00095514,           0.0044884,           0.0044884,           0.0044884
                  66,            0.057034,            0.015149,          0.00019062,              0.6998,              0.3557,             0.40521,             0.16133,            0.060601,            0.014567,           0.0010135,           0.0043671,           0.0043671,           0.0043671
                  67,            0.055866,            0.015563,          0.00022291,             0.68206,             0.38753,             0.43125,             0.16904,            0.059556,            0.014296,          0.00092433,           0.0042458,           0.0042458,           0.0042458
                  68,             0.05505,              0.0145,          0.00020229,             0.69088,             0.36912,             0.42676,             0.17885,            0.060174,            0.014483,            0.001005,           0.0041246,           0.0041246,           0.0041246
                  69,            0.058811,            0.015437,          0.00019613,             0.79068,             0.34118,             0.42274,             0.18815,            0.059783,            0.014105,          0.00096292,           0.0040033,           0.0040033,           0.0040033
                  70,             0.05631,            0.016724,          0.00017191,             0.70402,             0.37301,             0.42005,             0.17281,            0.059914,            0.014257,           0.0013124,            0.003882,            0.003882,            0.003882
                  71,            0.055776,            0.015587,          0.00017626,             0.76183,             0.36886,             0.40929,             0.16367,            0.060103,             0.01438,           0.0007463,           0.0037608,           0.0037608,           0.0037608
                  72,            0.054421,            0.015915,          0.00015828,             0.60807,             0.42078,             0.42786,             0.18206,            0.059433,            0.014433,          0.00077468,           0.0036395,           0.0036395,           0.0036395
                  73,            0.054932,             0.01532,          0.00015515,             0.65798,             0.40969,             0.42959,             0.17548,            0.059225,            0.014275,           0.0006253,           0.0035182,           0.0035182,           0.0035182
                  74,             0.05546,            0.015524,          0.00015681,             0.73668,             0.36174,             0.42486,             0.15474,            0.059778,            0.014567,           0.0011106,           0.0033969,           0.0033969,           0.0033969
                  75,            0.054691,            0.015378,          0.00014156,             0.76049,             0.35226,              0.4178,             0.16313,            0.059324,            0.014764,          0.00060985,           0.0032757,           0.0032757,           0.0032757
                  76,            0.055449,            0.016053,          0.00014675,              0.7444,             0.35641,             0.41949,             0.17034,             0.06037,            0.014833,          0.00077784,           0.0031544,           0.0031544,           0.0031544
                  77,            0.053438,            0.015311,          0.00016534,             0.75905,              0.3859,             0.43583,             0.16583,             0.06085,            0.015058,          0.00092155,           0.0030331,           0.0030331,           0.0030331
                  78,            0.055336,            0.014717,          0.00018804,             0.65063,             0.43945,             0.44127,             0.17039,            0.060693,            0.015219,          0.00081982,           0.0029118,           0.0029118,           0.0029118
                  79,            0.053799,            0.014881,          0.00012569,             0.66937,             0.41592,             0.43305,             0.17764,            0.060404,            0.015093,          0.00073511,           0.0027905,           0.0027905,           0.0027905
                  80,            0.053963,            0.014614,          0.00013223,             0.75442,             0.34794,             0.41468,             0.17638,            0.060424,            0.014998,          0.00063384,           0.0026693,           0.0026693,           0.0026693
                  81,            0.052503,            0.015077,          0.00012181,             0.70362,             0.40555,             0.42932,             0.17529,            0.060287,            0.014572,          0.00066398,            0.002548,            0.002548,            0.002548
                  82,            0.052886,            0.013012,          0.00012158,             0.65192,             0.43377,             0.43718,             0.18436,            0.060504,            0.014727,          0.00066298,           0.0024267,           0.0024267,           0.0024267
                  83,            0.052517,            0.013762,          0.00012894,             0.66007,             0.43763,             0.43429,             0.17694,            0.060343,            0.014934,          0.00067674,           0.0023055,           0.0023055,           0.0023055
                  84,            0.051348,            0.013861,          0.00012033,             0.65796,             0.43857,             0.43915,             0.17024,            0.060438,            0.015034,          0.00082136,           0.0021842,           0.0021842,           0.0021842
                  85,            0.052944,            0.014627,          0.00012893,             0.66257,             0.45468,             0.44206,             0.18303,            0.059647,             0.01506,           0.0011216,           0.0020629,           0.0020629,           0.0020629
                  86,            0.052453,            0.017206,          0.00017425,             0.71321,             0.45027,             0.44174,             0.18752,            0.059335,            0.014919,           0.0011152,           0.0019416,           0.0019416,           0.0019416
                  87,            0.051818,            0.013443,          0.00013751,             0.71143,             0.42569,             0.44888,             0.19587,            0.059614,            0.014686,          0.00079441,           0.0018204,           0.0018204,           0.0018204
                  88,            0.051529,            0.015595,          0.00012834,             0.68095,              0.3987,             0.41453,              0.1969,            0.059382,            0.014706,          0.00076546,           0.0016991,           0.0016991,           0.0016991
                  89,            0.053271,            0.015553,          0.00010884,             0.75635,             0.43844,             0.44123,             0.19855,            0.059211,            0.014883,          0.00082305,           0.0015778,           0.0015778,           0.0015778
                  90,            0.052093,            0.013671,          0.00013573,             0.80884,             0.38912,             0.42796,             0.18737,            0.059422,             0.01476,          0.00089777,           0.0014565,           0.0014565,           0.0014565
                  91,            0.053723,            0.013694,          0.00010167,             0.67088,               0.418,             0.43992,              0.1959,            0.059797,            0.014775,          0.00086127,           0.0013352,           0.0013352,           0.0013352
                  92,            0.052392,            0.015875,          0.00011988,             0.70447,             0.43928,             0.44838,              0.1976,             0.05955,            0.014631,           0.0008003,            0.001214,            0.001214,            0.001214
                  93,            0.052494,            0.013929,          9.8016e-05,              0.7567,              0.4097,             0.43229,             0.19112,            0.059899,             0.01462,          0.00080002,           0.0010927,           0.0010927,           0.0010927
                  94,             0.05141,            0.015536,          9.6494e-05,              0.7154,             0.42037,             0.43211,             0.19482,            0.059634,            0.014625,           0.0007322,          0.00097142,          0.00097142,          0.00097142
                  95,            0.052105,            0.014139,          0.00023377,             0.70646,             0.41592,             0.43354,              0.1977,            0.059461,            0.014704,          0.00074064,          0.00085015,          0.00085015,          0.00085015
                  96,            0.051207,            0.013358,          9.2191e-05,             0.71259,             0.43115,             0.44449,             0.20339,            0.059438,             0.01467,          0.00067139,          0.00072888,          0.00072888,          0.00072888
                  97,            0.051851,            0.013013,          9.2859e-05,             0.69495,             0.43323,             0.44003,             0.19591,            0.059282,            0.014683,           0.0006141,           0.0006076,           0.0006076,           0.0006076
                  98,            0.052333,             0.01372,          0.00013915,             0.82249,             0.39418,              0.4284,             0.18197,            0.059576,            0.014673,          0.00064405,          0.00048633,          0.00048633,          0.00048633
                  99,            0.051998,            0.013732,          9.0163e-05,               0.791,              0.4097,             0.43482,             0.18855,             0.05958,            0.014711,           0.0006256,          0.00036505,          0.00036505,          0.00036505
